Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
53,11,5,148,2,Some Random Commen with Id 53
54,12,6,93,7,Some Random Commen with Id 54
55,12,6,112,8,Some Random Commen with Id 55
56,12,6,131,6,Some Random Commen with Id 56
57,13,8,164,7,Some Random Commen with Id 57
58,13,8,37,5,Some Random Commen with Id 58
59,13,8,60,5,Some Random Commen with Id 59
60,13,8,76,0,Some Random Commen with Id 60
61,13,8,114,9,Some Random Commen with Id 61
62,13,8,91,3,Some Random Commen with Id 62
63,13,8,14,8,Some Random Commen with Id 63
64,14,4,23,1,Some Random Commen with Id 64
65,14,4,81,0,Some Random Commen with Id 65
66,14,4,65,5,Some Random Commen with Id 66
67,14,4,111,6,Some Random Commen with Id 67
68,14,4,91,7,Some Random Commen with Id 68
69,14,4,167,7,Some Random Commen with Id 69
70,14,4,118,4,Some Random Commen with Id 70
71,14,4,140,4,Some Random Commen with Id 71
72,14,4,82,0,Some Random Commen with Id 72
73,16,7,35,8,Some Random Commen with Id 73
74,16,7,144,9,Some Random Commen with Id 74
75,16,7,63,7,Some Random Commen with Id 75
76,17,0,168,8,Some Random Commen with Id 76
77,17,0,37,1,Some Random Commen with Id 77
78,18,8,90,6,Some Random Commen with Id 78
79,20,0,136,0,Some Random Commen with Id 79
80,20,0,79,2,Some Random Commen with Id 80
81,20,0,44,5,Some Random Commen with Id 81
82,20,0,122,3,Some Random Commen with Id 82
83,20,0,160,3,Some Random Commen with Id 83
84,21,4,173,9,Some Random Commen with Id 84
85,21,4,41,4,Some Random Commen with Id 85
86,21,4,78,7,Some Random Commen with Id 86
87,21,4,57,2,Some Random Commen with Id 87
88,21,4,75,6,Some Random Commen with Id 88
89,22,2,177,9,Some Random Commen with Id 89
90,22,2,188,8,Some Random Commen with Id 90
91,22,2,141,7,Some Random Commen with Id 91
92,22,2,158,9,Some Random Commen with Id 92
93,23,3,162,2,Some Random Commen with Id 93
94,23,3,147,9,Some Random Commen with Id 94
95,23,3,144,4,Some Random Commen with Id 95
96,23,3,42,0,Some Random Commen with Id 96
97,23,3,47,8,Some Random Commen with Id 97
98,23,3,143,8,Some Random Commen with Id 98
99,23,3,49,3,Some Random Commen with Id 99
100,23,3,102,7,Some Random Commen with Id 100
101,24,4,15,6,Some Random Commen with Id 101
102,24,4,106,4,Some Random Commen with Id 102
103,24,4,32,7,Some Random Commen with Id 103
104,25,6,64,0,Some Random Commen with Id 104
105,25,6,115,1,Some Random Commen with Id 105
106,25,6,72,9,Some Random Commen with Id 106
107,25,6,161,0,Some Random Commen with Id 107
108,25,6,148,0,Some Random Commen with Id 108
109,25,6,79,9,Some Random Commen with Id 109
110,25,6,159,8,Some Random Commen with Id 110
111,26,7,157,9,Some Random Commen with Id 111
112,26,7,116,1,Some Random Commen with Id 112
113,27,9,113,2,Some Random Commen with Id 113
114,27,9,119,1,Some Random Commen with Id 114
115,27,9,96,1,Some Random Commen with Id 115
116,28,8,120,8,Some Random Commen with Id 116
117,28,8,49,9,Some Random Commen with Id 117
118,28,8,132,0,Some Random Commen with Id 118
119,29,7,42,1,Some Random Commen with Id 119
120,29,7,4,6,Some Random Commen with Id 120
121,30,2,195,4,Some Random Commen with Id 121
122,30,2,141,4,Some Random Commen with Id 122
123,30,2,90,0,Some Random Commen with Id 123
124,30,2,157,8,Some Random Commen with Id 124
125,30,2,173,2,Some Random Commen with Id 125
126,30,2,101,0,Some Random Commen with Id 126
127,30,2,71,9,Some Random Commen with Id 127
128,30,2,102,1,Some Random Commen with Id 128
129,31,7,171,6,Some Random Commen with Id 129
130,31,7,115,6,Some Random Commen with Id 130
131,31,7,167,0,Some Random Commen with Id 131
132,31,7,48,4,Some Random Commen with Id 132
133,31,7,41,8,Some Random Commen with Id 133
134,31,7,14,2,Some Random Commen with Id 134
135,31,7,124,1,Some Random Commen with Id 135
136,31,7,18,5,Some Random Commen with Id 136
137,32,7,186,7,Some Random Commen with Id 137
138,33,1,84,2,Some Random Commen with Id 138
139,33,1,167,0,Some Random Commen with Id 139
140,33,1,141,5,Some Random Commen with Id 140
141,33,1,15,1,Some Random Commen with Id 141
142,34,1,197,9,Some Random Commen with Id 142
143,34,1,67,4,Some Random Commen with Id 143
144,34,1,134,5,Some Random Commen with Id 144
145,34,1,79,9,Some Random Commen with Id 145
146,34,1,40,6,Some Random Commen with Id 146
147,34,1,143,2,Some Random Commen with Id 147
148,34,1,145,7,Some Random Commen with Id 148
149,34,1,176,2,Some Random Commen with Id 149
150,35,7,155,4,Some Random Commen with Id 150
151,35,7,156,5,Some Random Commen with Id 151
152,35,7,84,6,Some Random Commen with Id 152
153,35,7,108,0,Some Random Commen with Id 153
154,35,7,98,3,Some Random Commen with Id 154
155,35,7,80,7,Some Random Commen with Id 155
156,35,7,102,1,Some Random Commen with Id 156
157,35,7,108,8,Some Random Commen with Id 157
158,36,9,126,9,Some Random Commen with Id 158
159,36,9,136,2,Some Random Commen with Id 159
160,37,9,99,2,Some Random Commen with Id 160
161,37,9,151,9,Some Random Commen with Id 161
162,37,9,122,8,Some Random Commen with Id 162
163,37,9,170,8,Some Random Commen with Id 163
164,37,9,70,2,Some Random Commen with Id 164
165,37,9,154,6,Some Random Commen with Id 165
166,37,9,39,9,Some Random Commen with Id 166
167,37,9,113,4,Some Random Commen with Id 167
168,38,2,37,4,Some Random Commen with Id 168
169,38,2,143,5,Some Random Commen with Id 169
170,39,2,124,2,Some Random Commen with Id 170
171,39,2,90,9,Some Random Commen with Id 171
172,39,2,143,9,Some Random Commen with Id 172
173,39,2,123,6,Some Random Commen with Id 173
174,39,2,36,8,Some Random Commen with Id 174
175,39,2,12,5,Some Random Commen with Id 175
176,39,2,138,1,Some Random Commen with Id 176
177,39,2,35,7,Some Random Commen with Id 177
178,39,2,169,9,Some Random Commen with Id 178
